Codigo;Cantidad;Precio
126226;28333;1282
105949;37985;2587
125617;11089;2237
126399;16090;2407
127713;13932;2970
123314;30154;1411
112120;27207;3136
113102;36776;1910
131072;33764;2699
112441;29403;2680
115634;35206;1440
114193;25970;1794
109239;30066;2439
115988;38822;2037
114533;18482;1384
102683;20210;3110
131955;26621;1864
102076;39592;1200
123994;23323;3743
100015;15435;2687
117078;35154;3929
129478;15638;1525
114764;21698;3869
112544;22390;2313
124415;38080;3473
118618;13927;3780
121684;23948;2732
121835;26094;3277
113819;38388;2833
128496;30500;2629
127252;14404;3349
119570;40857;1704
104492;19990;1633
122700;20207;2226
108322;20183;1938
128698;42746;2307
115992;38691;2678
124603;16850;2249
126135;17226;1764
103303;36500;3564
106996;24973;1421
105358;39113;2755
126872;16638;1481
107575;38817;2341
111505;10256;2225
111575;31121;1435
119363;35368;3395
109309;38387;3742
100423;30166;1055
107362;37297;2366
102237;32138;3743
115999;42281;3342
128641;23246;2327
103158;41161;3359
112219;36982;2708
120018;39702;1879
131721;27209;3391
111565;28186;3051
126319;30981;3656
122197;25454;3910
128916;40918;3246
109392;30038;1261
124085;33939;1671
126284;12466;1047
131088;18014;2316
103191;22185;1301
108190;22141;3539
111454;11869;1756
117037;15746;1126
117023;22024;2045
127388;35614;1580
104721;41039;3211
130473;14643;1624
101453;30136;3045
100110;31494;2664
131044;39801;2886
107488;22419;3809
106787;30752;1738
105325;39548;1077
130221;17353;3757
109330;10507;2141
129728;21715;3837
119735;12598;2187
109877;15191;2043
111606;34477;2967
107549;27864;3248
130076;26199;1351
132113;11985;3662
123007;21195;2026
124294;35387;3950
123878;23721;2183
108227;11044;2031
112366;32728;1607
123478;30425;3257
101038;23323;2615
113169;10347;3215
123928;31101;2060
109302;13928;3812
101052;15740;1793
112804;30236;3399
125176;19455;2178
130839;12228;3406
126142;10617;1037
110563;29808;1122
130935;42448;3684
113710;20865;2718
118956;17364;2902
130833;18194;3655
115322;36722;2192
111664;32172;2870
104442;25062;1360
128165;27915;3156
124204;30100;2927
125071;18660;3758
130303;29527;2265
124392;27117;1383
132493;24934;1566
124275;22681;1271
115621;40987;3285
105685;27710;2202
124474;31551;1665
112957;27810;2952
126802;22192;1587
112685;40230;1462
105343;13170;2944
115768;24581;3173
109077;18069;1274
121304;34140;1095
128922;11629;1474
122017;11521;1320
117012;33549;1596
114563;13134;2556
115280;18706;1433
131802;16480;3394
105013;18965;3382
106870;36495;1107
100277;26201;2309
106985;10235;2290
124683;11170;1826
127925;33924;1276
100919;16166;1637
104502;26765;1479
121091;36126;3479
124250;31313;2477
107500;29544;3577
132229;34492;1136
109262;17701;3365
113201;12289;2138
107293;41842;2853
103217;36709;3721
119568;19324;1786
121493;33013;1820
126482;13469;3228
116650;11047;2342
103498;14674;1826
112010;11663;3398
129567;39965;2234
130608;35121;2997
105988;38329;3541
119066;39454;3849
123375;19491;3041
106960;11599;1495
109375;10854;1045
107764;12043;3434
108303;40756;1719
119455;27954;2287
117274;23720;3924
105281;17988;2242
125629;24009;2114
129078;10496;2082
112834;18086;2968
119753;20968;3783
109041;14887;1385
130157;35611;3188
131998;36061;1731
132423;10292;1011
116908;24191;3378
109147;23349;3788
118971;11224;2534
104712;41133;2461
129152;26952;1024
126349;12436;2098
132212;14896;3198
122058;28303;2103
116319;29660;3750
126341;36769;2752
109414;23239;3032
124626;25716;2434
121768;32593;2983
115061;16055;3953
120211;23360;2094
100431;36168;2925
114286;25498;3088
112700;24105;1840
118484;15041;1165
125422;18027;3887
105739;40157;2632
127136;36756;3816
123012;38124;2280
110269;18216;1866
127205;37654;1803
114125;14438;3523
100457;11546;3301
112964;16725;1335
132223;14316;1418
103438;11182;2800
119013;38361;1455
126689;34635;1342
108738;38610;1458
129481;18213;2632
112222;12456;2264
103780;25352;2905
107916;13153;2045
112832;20349;3121
116202;33265;3658
108267;35490;3662
110969;20981;3116
117638;38889;3404
123198;38215;2022
112639;24047;1327
130288;34438;1407
115519;16621;2211
119769;28128;1954
117742;22898;3772
105585;42439;2577
106907;39526;2420
107883;16213;3156
111466;27271;1411
122397;29828;2234
123668;29916;2924
120203;27287;2378
119138;37074;3376
120454;12600;1711
111974;28166;3630
126105;31541;2484
123423;30948;3771
110776;21485;2216
104015;33949;3847
101872;41164;2566
106659;31790;1566
101767;41049;3613
120456;32614;2667
128847;24781;2215
124478;12843;3669
130586;26165;1105
113923;29562;1963
104841;31862;3365
106609;32457;2130
124343;35807;2842
116325;30167;2598
112235;18186;2026
112902;18967;2722
118480;16178;2491
113862;17451;3151
110574;26707;1661
117871;19764;3131
130894;26789;1588
107431;28895;3922
128157;18265;2141
117343;41079;1422
120861;15522;1843
111667;24162;1013
111943;39267;1180
122023;30426;3401
117752;34600;1779
124345;38328;1743
118761;20782;3594
110674;12972;3055
129397;36260;1753
114281;17474;1315
105429;27244;1257
130307;16246;3557
111699;41739;1450
125006;27854;1237
131879;19840;1735
124557;23853;1110
100866;19003;2893
116364;38881;2765
103785;18295;1314
103635;18585;2924
101746;33427;3320
100058;36675;3471
130948;21064;2479
105954;27909;2907
128544;39632;3201
125761;28875;3126
103658;10575;3578
106060;35623;1768
122463;42538;2807
116758;42092;3837
120321;26119;1693
105414;33105;3465
109795;28590;3274
127541;33152;2212
106449;41223;2468
101892;41177;1870
128402;34782;3579
104831;12115;1551
127217;21311;3392
109012;15557;2800
122254;18566;1988
117653;36083;2166
126894;29555;3546
117369;23994;1457
118397;27361;2486
105173;11318;1010
105853;35831;3104
103754;18214;3477
132379;35819;3836
107924;11275;1613
123811;17580;3323
111498;14764;3725
116483;15112;2031
129438;32260;1505
124194;40250;3470
114313;40655;3574
117688;28374;1243
102378;25380;1941
115173;21390;2858
113146;35298;1959
107770;31822;1548
122018;11237;3762
112431;12950;2794
112791;14895;3243
111174;27681;3567
110418;34701;2345
117057;17723;2578
100083;35430;2977
125870;19025;2286
122734;28337;2818
123465;10655;1323
129182;31047;2534
102363;19470;2620
131337;29961;2052
103058;32920;1996
111486;14226;2433
131423;26578;2082
105939;36469;3243
122345;13675;2525
103788;26415;3416
122687;15295;3857
110164;37712;2832
115278;39373;2242
102413;30617;3238
107711;24119;3363
118631;36852;3262
123867;37398;1044
104179;19343;2330
121968;29884;1066
126969;11149;2860
100856;19911;1238
130036;37886;3761
111223;11530;1733
127745;12834;1128
121280;18494;3360
120265;35880;2592
127520;29811;2529
131522;36320;3695
129453;36279;2394
117993;33561;2937
113314;35194;3711
100927;15272;1142
101002;32902;3008
125607;24139;1917
128819;17329;3357
108031;34524;2603
106906;39570;2728
116362;33175;2186
124495;11735;3475
124162;39013;1784
