Codigo;Cantidad;Precio
117908;30062;3438
119687;30478;2107
108251;36286;2889
117243;24967;2084
115121;23783;3283
117431;36270;2427
115739;23086;2013
109739;29306;2195
112803;24591;3601
130111;12679;2740
110828;35091;3774
116241;11362;1152
116730;17509;2607
114416;42517;1167
105355;14689;1781
121634;39636;3012
127950;13266;2173
105304;23199;2792
118365;23196;3171
106467;38190;1750
109642;28932;3510
131837;13445;2227
109718;26325;1480
106825;28931;2025
127863;38414;2026
123864;17608;1977
128042;19684;1018
123218;40390;2027
112205;14653;2944
119828;13530;2007
127220;34535;1270
131428;38330;3557
107766;37948;1686
119304;30375;2135
101668;39162;3258
104165;20504;2162
104036;35179;2910
119921;33762;2457
125678;29751;2990
132634;41090;3443
115478;41851;1473
108276;14484;1404
127856;31217;3377
130884;12200;1709
123687;27470;2178
118482;38115;2764
100067;39723;1200
129529;31032;3838
129943;12301;3852
127980;29215;2957
113156;20574;3156
117439;31498;1610
124637;40329;1036
100858;30481;1612
117957;25964;3146
110318;33163;2836
124076;15574;3751
112135;22407;2032
116271;21982;2159
125638;15722;3244
113924;15141;2180
109616;11035;1598
123290;13669;1717
120271;36481;1244
115324;37602;3347
131485;26435;1648
112912;24720;3636
127344;12293;2573
114637;29454;2639
110271;18589;2899
121086;29129;2627
124371;12785;1376
105634;32989;3851
114122;14203;1584
108828;13973;2717
131319;27567;1195
116127;20371;2131
123253;29613;1847
120478;41228;2807
103446;21512;3281
107439;10907;2202
126961;37774;1513
109467;29077;3267
117560;27213;1137
110225;36328;3915
130598;41553;2357
131004;38118;2742
121624;40134;3203
124581;26768;1019
104244;27020;1186
110121;29243;3723
106806;22618;3583
115187;34214;1077
117801;12804;3390
113840;42454;1332
102972;11648;1744
120956;14167;2785
104446;34747;3724
106551;25526;2434
103062;13925;1391
121796;41031;1070
119767;19767;1059
117347;32410;3928
103755;10846;2806
107935;14125;1226
112507;10772;1521
126089;20280;1668
105761;19087;2240
125499;24749;1455
107025;41164;1066
105428;30650;3078
130033;37852;2120
121197;15221;3389
108317;22469;1199
115383;16249;3136
126023;25104;1840
113472;31386;2600
105401;24987;2238
101269;33533;2304
123198;28747;1691
119739;27188;3751
106519;37038;1724
110767;29747;2424
108697;25265;3753
104945;31287;3375
123190;41455;3368
122189;42736;2761
113444;17743;1483
101967;27540;2969
102115;19174;1028
101423;42406;3993
120652;11344;3313
113696;31631;3303
115187;30471;3214
102198;35428;2202
115197;24929;1047
111204;10595;2430
118462;16438;1053
109646;22547;3519
117179;19041;1360
131026;29203;2149
114655;28312;3286
129950;36846;2072
124932;30029;2161
130603;40594;3699
128297;35739;2858
127730;16194;2566
105700;30058;1869
129216;32790;2562
107244;21575;1517
117352;33127;2174
123096;32179;3888
129606;14009;3467
109928;38599;1034
108121;12798;1152
116968;25732;1107
118232;24145;3577
105617;18226;3002
111241;19308;1201
112895;31879;1399
130892;15760;2984
107525;22430;3553
105106;11670;3337
114829;28383;2946
124603;21342;3903
129866;40806;1094
101262;18654;3554
130399;33427;1958
101194;24181;2435
131659;23994;1365
109315;26973;2242
106685;32060;2990
125246;15166;3953
126485;41832;3310
110355;40545;2124
127684;35058;3233
124735;13291;1774
129485;12266;1136
132067;31272;1291
126982;19315;1534
100075;40661;1249
120821;36271;3912
109131;42462;1733
122207;39573;1159
105629;26392;2323
122847;31149;1582
113599;34261;3454
126490;31213;1889
105086;23403;3898
111473;25126;3974
114557;27139;2642
120900;19904;3697
113357;24388;3549
121114;35001;1390
113912;34496;1663
127823;28457;3302
103787;23083;3206
132628;37804;1645
112515;12735;2423
113897;36235;3419
126121;33118;2063
103643;39545;2961
130881;40781;3984
122910;35129;2693
114005;22438;1585
123884;31126;1426
131915;39881;3636
105132;13155;3428
122370;32632;1381
104642;31112;3548
102691;32100;1731
105638;40772;1279
113047;15183;2855
131853;38186;1835
109912;18969;3938
114251;28809;1384
127258;14408;2080
105524;27449;1425
127354;19950;2831
108584;21251;2742
127165;32510;3567
122638;10019;2908
105280;40299;2138
117099;34704;2360
115752;42663;2472
127964;27920;2198
112887;16475;2858
112778;12870;1768
112137;42607;2773
126089;38193;3025
106285;32961;2016
121364;21985;1816
100057;24852;3526
101668;16968;1937
103326;39453;2333
125398;10351;3951
116464;18114;2025
122013;40824;1623
121183;17632;2072
115250;11577;1866
106444;10544;2158
129470;20814;1922
100936;23084;2991
130491;16371;2976
104604;40443;2823
127085;26127;2189
125350;35792;1539
118548;32039;3978
107027;35650;3615
101152;20803;3944
105505;27778;2202
109321;13279;2469
128363;14977;2307
122016;16001;2399
127210;17502;1809
106734;19601;3913
103094;36274;1710
130561;18299;2982
108585;28062;1974
130359;20815;3161
125548;12961;1416
113889;22861;3604
123557;13723;3115
103000;33582;3323
130610;28816;3125
112095;21762;1982
108213;32260;3052
115678;10486;1617
132327;27659;1230
104286;14183;2102
108134;39516;3936
110542;33547;1203
122356;32012;3105
100475;21524;1441
111340;42425;1832
102974;37019;3356
122836;29522;3822
127051;28599;1056
100686;19643;1083
114481;37384;3378
118241;25853;3681
104793;17826;1617
123980;18377;3929
118454;29847;2762
131424;25453;3827
126303;17559;1767
130964;33170;3053
120643;37722;1872
102863;12893;3065
116035;36562;2340
129061;42435;2512
119373;31066;3427
100462;23866;2178
100692;35159;2207
112131;37893;1810
100140;37129;2645
125707;18121;1550
105924;34430;2860
117531;29498;2830
104494;27878;3979
109074;36600;1654
120681;22459;1519
127864;24823;1548
101881;38257;2604
114132;27395;2341
128175;21170;3605
107175;31043;3464
130342;34897;1067
130837;19403;2534
120545;38266;3007
117351;12945;3694
107034;21699;1777
100060;28274;1147
128920;38448;3768
116372;18940;2028
102182;33093;1957
106870;13114;3570
120451;18878;1761
105045;15297;1605
116962;42627;2052
106699;22175;3971
121688;28141;1190
125572;33793;2385
126150;27522;1158
104933;26802;2108
124954;17065;3876
123229;41911;2232
114185;20234;2486
121277;40631;2097
104332;16019;3170
124778;42487;1043
111805;27224;1937
105800;23298;3494
123892;35532;1257
122286;41320;1271
125739;39172;2502
121026;34574;3346
111124;20991;2262
115983;29187;1018
132460;12847;2676
105017;39902;2867
130149;11951;1306
130825;42764;3772
126792;16113;1417
119643;29848;3493
105110;17603;1272
103312;24913;1964
101458;23041;3309
104068;18271;3483
123204;21071;2372
108613;40354;1721
112196;42149;2533
103170;24688;1709
103930;17315;1555
103645;10128;2192
107927;31964;3108
122026;31616;2240
127851;38553;2346
114893;12393;3571
106598;24778;2843
117409;22356;1179
113133;39194;3104
112185;18035;3484
101252;11107;3310
129379;24480;1197
100409;20209;3400
103966;10343;1286
113115;38491;3381
113687;35108;2717
129121;35540;2339
121278;12591;2319
103943;11596;3606
100630;15365;3222
113937;34480;1436
101708;22500;2300
131635;40488;3052
110008;26728;2310
113417;34612;3636
126936;32770;2885
100914;37601;1684
120161;41301;3246
121562;22176;1531
107645;38381;2237
115680;32855;2659
110539;22985;1196
102112;41678;2022
123080;13224;2464
129467;38530;1158
115349;40988;1348
117119;35456;2599
115818;18899;3085
129980;15839;1739
111116;29590;2842
122785;26091;1444
116257;35046;3384
111227;19999;3318
101689;36939;2681
103279;38532;1484
123363;34475;1568
118914;27150;3963
125227;19774;1685
115534;27146;1355
128076;23553;3359
114160;11456;3469
120709;26806;2258
129308;23763;3090
126793;14031;2541
105042;37890;2944
132169;24282;2581
120235;18267;2405
119813;40005;1353
127165;21504;2143
100070;42643;2798
103549;17161;2897
106004;22362;3782
129583;32817;2315
111232;28834;3465
107457;21060;2282
101341;20353;3414
100903;13707;3622
127358;17663;1459
101518;38837;1797
127052;17325;3066
131459;12772;1948
129113;39541;1977
108382;10462;2050
129465;42376;2908
123801;33957;3314
121763;17531;3632
121037;18395;1261
104978;37102;3157
125335;17589;3022
120149;21332;1086
119442;36983;1660
130127;39856;3302
110623;30628;2495
116061;17001;2615
103613;25713;3658
111383;31110;2332
121629;38423;3406
112999;37093;3381
109362;41743;1507
101550;12372;2375
117740;22899;1357
100331;41106;3544
123750;30692;2070
112674;22689;2047
116137;16076;2896
117367;30451;2906
128599;19677;1105
108469;42579;2429
105430;27407;1671
115517;15521;2827
123601;11154;3319
121996;13743;3872
116530;23662;3539
129503;38634;1354
127966;39370;1373
100249;22673;1391
130262;38156;3564
105337;14247;3960
110477;15695;1966
109509;24551;2642
107411;10985;3843
125423;16221;1115
109031;21235;1199
109921;40307;3759
115595;26895;2585
116344;19863;2159
129070;17634;3017
129743;39361;1306
117774;28157;2263
107370;23426;2415
114776;27690;2162
113259;14950;2130
117686;29523;1162
125256;15561;3657
106699;18823;3135
108991;21626;3523
128709;10943;3574
105225;25266;2277
126041;16755;2096
104935;26455;3069
104382;23591;2911
116137;15737;3199
128638;10093;1509
111937;31634;1169
116289;12567;1603
100085;22508;2859
125912;42121;3942
129625;25145;3613
131115;22892;1225
112530;35144;1316
127718;17720;1505
104467;20558;1163
131310;30017;1732
132175;22866;3845
102660;14936;3237
104218;37508;3508
127789;28698;3016
131756;29368;1037
102310;39294;2227
130183;21816;3650
120987;14670;1604
101546;16296;2506
122324;10370;2965
119253;15538;2724
115732;34233;2549
126932;36017;2537
109029;32843;2118
114180;18845;1243
115196;34466;1305
113549;19930;2965
110463;37597;1448
105484;17859;2091
101079;16874;3076
113307;25088;3581
128462;24735;2930
113284;13580;1417
121897;30582;1987
123892;28788;1495
129540;26865;3876
110738;34488;3008
103312;16350;2099
118472;15573;2363
131600;41453;2783
128021;33500;1413
124959;20566;1779
128462;36138;1219
103329;33660;3141
105744;12314;1016
122364;36827;1738
120274;32323;1595
117597;29085;1591
131673;11684;2608
118844;27042;1302
111487;25168;3327
102494;37360;2073
105347;15730;3194
109821;35005;3643
103528;34242;3080
122861;22664;1016
119816;31426;3827
114629;26894;3555
112477;30305;2962
109953;22514;3192
113594;30928;2672
108058;26992;3544
104428;10414;2716
103162;41088;2839
114795;17879;3138
117346;19236;1831
117044;38778;3631
118041;15067;3130
122075;36423;1212
131324;19065;1902
111601;14791;2987
114755;35272;3644
125153;23623;3905
107422;15550;1581
132036;27358;2791
131446;40761;1602
128733;12141;3681
116465;24428;2831
118722;41136;2461
106379;20630;2838
125533;26811;2224
124522;17551;2251
117312;35954;2694
108718;38476;2724
111629;18141;2262
107114;34933;1968
132061;33139;2678
108569;33430;2524
122596;28321;1167
126105;15514;3809
101839;15935;2133
104472;23435;1434
121483;15287;1669
114303;13266;1612
100209;29690;3815
132152;42088;2464
110352;21929;3163
112227;39863;2540
123661;10229;2748
120785;41503;2006
132556;17692;2793
112232;36693;2725
126438;19349;2572
103607;10015;2147
111506;34120;1943
123364;36628;2274
124809;42597;1985
126524;12901;3660
110616;19893;1067
103683;35301;3779
111700;28281;3972
132200;11714;3939
108201;36919;1361
111261;25519;3125
128838;11013;1516
113531;22382;2772
101388;26411;1580
123987;42235;2968
106248;15676;2951
125859;41677;2820
124334;28658;2226
108783;16350;2338
111164;11118;2710
124154;40064;3632
110103;19886;2116
118013;38439;3465
124677;35420;3616
132034;40367;3248
131723;20540;3117
108965;11465;3545
119254;41182;2964
119011;23188;3371
132606;31601;3973
116171;14475;2577
112511;41400;1243
125604;38987;2564
107837;27287;2143
111977;28653;3018
118388;38840;3834
111017;38360;1427
108634;19498;3430
119595;20060;1465
129888;24595;3479
128557;29817;1048
114007;29134;1162
110668;13465;1353
120041;20225;1847
106879;11053;3123
124950;12436;3214
120495;37478;3701
129732;23191;2284
104386;20868;2026
131968;36206;2269
112960;34163;3435
101372;26595;2793
118240;19881;1315
114676;29167;3488
126605;39303;3172
116862;38477;3082
118735;12716;1329
117490;25926;2931
102815;38386;2785
109033;42284;2485
111367;21524;2440
101384;34172;2932
124190;33841;2110
130964;20391;2621
110914;28580;3380
107260;15597;3911
103588;23523;1479
121311;15054;2998
124790;22124;3856
103226;28676;3195
110689;32747;1177
118973;20985;2558
128272;33811;1806
116863;40762;3349
114415;30950;3659
127361;11615;3074
128881;39779;2787
123078;14672;2187
131447;39119;2656
122856;24313;3533
105902;39701;3234
124786;39371;1115
116228;29680;3172
128615;16793;3092
118914;21981;2611
126396;28592;2917
123942;23307;2724
127414;42565;3914
109207;31160;1577
109663;34945;3604
114634;17096;1253
127900;31704;3666
113909;12917;2017
105090;15223;1266
126552;17506;1622
125180;19675;2066
121802;13186;3535
108006;28928;1475
121358;41869;2110
106272;12192;2503
126811;13559;3244
129104;33403;3987
130972;34217;2092
103492;33953;2552
132426;12264;2550
128567;28210;2434
107007;17965;3273
118629;40727;2730
105994;26086;2608
123569;39831;3182
102562;37965;1697
117579;13277;3807
127646;32726;1231
119962;11202;2648
121778;17901;2618
114900;10885;2946
110233;20470;2720
125191;37419;2494
103105;35786;3997
121987;11451;2312
121425;33579;3557
122602;29091;1923
125342;29413;1692
109384;36826;2948
127333;19856;3989
100357;31128;3744
122738;24371;3814
117392;29900;1434
123250;24124;2181
113427;16265;2617
115743;27523;1138
108432;14886;1732
126225;42579;3454
111412;20679;1332
112596;23215;3029
121293;40067;3516
110355;16207;3319
100505;30829;3242
131316;34310;3209
124143;41248;3955
113152;31887;2265
110193;30113;1808
119849;29944;1847
126406;42680;3711
102348;29728;2537
107026;40460;1028
125635;35330;2894
110237;14498;1299
126427;35530;3949
112491;10390;1966
131925;28892;2025
112318;32808;3973
108855;20317;3805
