Codigo;Cantidad;Precio
104464;36464;1816
120276;37320;2300
119754;24017;1153
111014;36750;1369
131459;24722;1814
124695;23309;3743
120907;11598;2371
130592;30109;1365
119600;12407;3432
107485;41031;3081
113027;15113;1779
128478;20283;1304
110880;18221;3399
105215;22751;1700
127220;36908;1877
127427;26670;3541
104760;19770;2731
123041;27991;2414
132118;30466;2409
110290;14552;2642
122045;36349;3217
117873;27800;2552
115713;27636;2524
108305;19359;1051
102692;21830;1675
107550;31872;1893
107098;20161;2666
109724;23449;3098
132126;17203;3770
126491;20907;2196
116607;20476;3429
107271;39036;2615
130787;12876;3558
125077;14976;2812
120309;22219;1106
127737;15300;2247
124093;35809;2836
123058;35199;2059
100113;23262;2572
103430;23332;1446
129240;42659;3742
124427;27337;1888
101605;28333;3030
116940;42034;1709
120648;35713;1008
104042;28912;1825
124268;30197;3898
125264;27982;2620
126299;15557;2814
130503;25856;3801
101113;17524;1823
120729;18387;3672
130337;23406;1495
116352;42445;1055
110045;41186;1349
129678;32640;1022
129080;18127;1452
112088;41598;1583
123735;26675;2988
121612;13096;3050
114139;37480;1844
110771;15449;3360
128448;19724;3409
114507;29336;3939
100397;28164;2558
115854;39889;1085
115190;28546;3372
122994;36297;3930
103617;23571;2416
127172;17613;3409
118280;18713;2777
104056;33094;3646
119917;21065;3041
109567;30265;2578
132387;10491;1414
103997;11231;2402
110161;41078;3304
123387;41170;1331
115900;15480;1643
105960;14734;2193
107042;14760;1135
124289;33069;3647
108286;24510;2568
109442;28584;3980
120250;15230;2503
103075;10505;3670
112246;13017;3826
104915;17992;2969
121316;20431;1167
105780;33750;1965
128764;12013;2463
114556;31480;1079
111204;17531;1752
116619;41605;2179
126948;14257;2904
126037;34977;2883
126277;30095;1244
130424;23185;2158
107365;25902;3273
123144;12469;1387
120167;26015;3895
102277;33869;3249
106313;33209;2092
105710;33178;1123
101448;41056;2234
100976;25711;3491
103125;30765;1583
106025;34392;3311
104209;17284;2661
124649;36061;2641
103931;11885;3589
126978;35718;2286
109283;18906;2680
101768;16566;3652
101821;34841;1676
107396;42353;1234
115810;29861;3465
125713;10147;3079
121316;36239;2577
101977;25486;3322
120450;28475;2908
102634;23647;1933
112610;29477;3073
125923;23842;1436
105617;35042;3134
105948;41605;2929
100099;31908;2528
113822;33583;1608
121733;41190;1402
125705;20376;3904
121307;30983;2308
130996;25505;3019
106119;41214;1620
112941;13144;3249
131307;21108;3932
107233;18872;2822
113343;41440;3378
121368;35650;2289
129684;28282;2362
115849;26552;3766
108128;38434;3952
103019;19816;2633
128065;23181;2243
107543;30159;1677
126711;38739;2794
110482;22131;1104
116943;32958;2109
122008;29254;3536
121584;12634;2342
101889;18165;3937
108608;24766;3293
116119;28395;2533
131688;18446;1152
101298;39923;3430
119968;35093;2998
103994;38845;1773
125754;29461;1094
107230;20145;3849
106550;19614;3959
108189;24280;3299
128067;27649;3698
108794;34752;3515
104686;28741;1415
125806;31139;2839
105464;27303;2684
126452;12614;2290
101638;19716;1502
100297;39737;3706
126506;35778;2858
112558;29836;3740
120055;41499;2501
102741;38932;2985
107800;40393;3788
120251;28364;1641
102054;37774;3669
123551;24319;2196
117173;28685;1943
117080;10555;1373
112075;37092;3271
104373;29501;1602
122683;32790;3839
114093;41045;2354
116129;40989;1454
102662;21493;2081
124400;41278;1496
117828;26216;3019
118734;18675;3834
104569;31969;2388
114998;31373;2752
117193;11619;3879
111764;40021;2397
132299;27703;3645
117976;30423;2394
104195;17376;2289
124984;37920;2193
128813;22998;2539
109971;33555;3156
111123;20846;2955
127411;18208;1318
102173;35764;2523
108771;14078;3967
132075;24099;3174
102039;11590;2954
110724;29574;2589
102415;17392;2278
108048;29025;3212
108611;28713;2749
112657;33201;1913
100983;17918;2710
105619;21480;2416
132681;33730;1979
113108;22896;3067
117532;21328;3910
114764;16668;1140
125471;33635;2610
108062;21062;1711
130416;26051;3383
120152;37783;2583
131077;36601;1103
127127;29350;2981
128350;31426;3965
100822;14578;2173
119093;42114;1894
103839;20449;1878
126620;34144;2393
121053;30927;3604
107345;12752;2196
104938;32591;3696
124720;36538;2850
101824;23338;1550
127241;23167;2204
122966;33985;2772
123200;41099;1325
123781;14816;3028
124939;11828;2574
127503;27173;3115
104479;22032;3273
130210;18815;1862
104495;19223;2400
103653;27770;1705
128147;12062;3796
110329;42320;3784
114658;10386;3256
117741;27126;3208
117867;33153;2737
122902;10914;2345
123346;34378;1615
106070;32118;1946
112960;42134;1887
126375;12120;2841
102364;15198;2262
114828;29477;2897
103051;13099;1814
122427;24501;1341
104242;25054;3509
129938;33391;1494
120551;32661;2197
120382;20326;3911
129488;39566;2394
126620;31016;1531
102567;38419;1346
101684;35280;3842
123168;25819;1287
100075;17400;2490
131483;26978;3194
114485;11675;2057
128491;18205;2415
117229;32778;2716
107038;34209;2117
120489;24446;1808
117122;17167;3123
118165;33268;1446
114531;25958;3021
117316;41036;1346
113709;21131;1018
129783;32232;2949
115968;17696;3515
125763;21055;3446
101587;26761;1116
128806;15643;1579
130490;37039;3205
106471;31107;3345
130539;12889;2450
118353;35957;1127
120723;18241;2153
116273;33797;3719
113570;38176;2392
113948;20602;1258
128785;29038;2428
113376;42109;1012
126797;41872;3929
111676;27256;2428
107984;34198;2936
114856;36025;1290
109584;34795;3492
127573;23282;3736
125002;22139;1457
115635;37675;3125
106703;40505;3702
118807;19787;3977
116452;26650;1137
111965;36789;1477
113493;15048;1450
105110;30902;1545
103997;18125;3809
130090;31668;1322
108738;22757;3389
104426;33373;2616
117426;15526;1416
111627;41290;1891
122682;11736;2069
102919;19663;2696
107317;33029;3890
113361;26095;1751
105674;23588;2733
132062;24751;1820
112462;15995;3299
115953;31802;3584
100253;17151;1974
115892;23194;3470
111729;35554;2584
128633;35052;3302
