Codigo;Cantidad;Precio
127772;26203;3794
112441;41956;2040
125675;30135;3580
124588;11540;1837
129244;38292;3123
107011;27389;3430
124800;21393;2885
105316;10229;3866
117188;18947;3067
122842;41137;3681
110353;35611;2078
107237;22295;3511
118702;30536;3255
112321;33509;3925
118168;35355;2951
120708;36326;2306
107868;11086;2826
131928;19627;2566
116626;31174;2256
115849;42492;2107
122627;25765;3577
107031;27275;2442
118958;19137;3953
127499;35717;1105
121368;21281;1503
103625;31251;3179
108472;20820;3408
115466;37616;3826
106586;24243;3229
106570;24732;1979
115655;28144;2975
115149;33750;2810
109087;36998;1938
122500;34142;2124
114341;32227;3893
128637;34095;1582
101347;14941;2339
131238;31414;1006
108670;36953;3270
107522;22194;2633
121614;30763;2844
114087;41654;2662
110796;39830;1088
100125;33676;2525
120324;26612;2832
108794;39661;1770
118913;11889;3934
127943;31301;2602
105330;13282;2552
126354;31608;3814
123254;23059;3210
126152;13806;2634
130262;19114;2787
108825;13641;3962
118547;20465;1779
102810;25742;1111
112719;25121;2968
123756;39861;3297
117824;28679;1698
130687;14030;2640
107943;40985;3257
122457;25924;3458
113290;17238;1112
129760;17636;3253
107166;34177;2211
113051;12212;3334
110233;40607;2498
102888;13501;1117
117368;30652;3272
108309;21326;1149
114129;26976;1337
127329;36205;3559
115912;33857;3267
109390;37228;3533
131398;17679;3635
109262;25562;1803
112510;14963;2845
108077;27210;2167
129510;37013;2684
111304;19623;1528
108590;14274;1843
106485;42509;3132
115168;33805;2658
113309;16222;1336
120995;16898;2439
104066;23825;1843
112474;24766;3213
114726;22242;2280
125603;35851;1921
116421;35702;2549
101459;29013;2673
126952;39699;1612
120580;32913;3372
110205;31724;1401
124885;22118;2272
111982;16321;3789
132079;12100;1823
115254;38334;1579
132192;23333;3733
103909;34006;1648
132722;14379;2748
103303;23068;1376
128914;20064;1398
110840;41918;2476
121675;20796;3435
123783;40109;3130
102169;39872;1004
132078;30234;1105
107251;16960;2052
122256;17236;2951
126685;41280;3472
117505;16806;3645
109802;29414;3230
128567;39233;1849
121961;31980;3160
105728;21862;1639
122433;26405;2001
109194;33083;2835
123803;20190;2353
105767;25623;3958
114540;17878;1156
105356;37676;1570
114828;11126;2978
122685;18388;1096
113992;17808;3836
115181;28909;3038
113344;14809;1894
121327;39687;2355
125290;39878;2374
112142;24147;3608
122257;15019;3111
131947;21138;1029
116138;18975;3361
116788;26745;2177
113112;29456;3313
128064;17726;2485
124656;26133;1566
124170;10319;3367
105693;14303;2171
109685;19555;1865
129853;14033;3436
131676;27747;3954
125056;38184;1663
120552;27097;3510
130812;17733;2354
102417;21998;3130
129192;19945;1206
108264;40734;1338
109961;14985;2411
108906;13601;1410
115180;12299;1578
109588;25031;3997
129282;10362;3316
131705;12464;2582
103808;30882;3159
112757;22827;1577
103757;39057;3865
118243;33951;1777
112226;17509;2484
111834;20813;3913
123497;32000;2311
104153;25676;2998
109508;18539;1586
130931;36618;2515
115192;24594;3176
117587;19389;1739
130235;20263;2008
110769;29060;1706
107533;28100;1239
127631;19499;1018
114984;13734;1039
123484;36046;2404
120626;13215;1716
117705;40910;2708
111591;25863;3901
120053;10712;1487
124861;13015;2739
119100;37098;2728
111158;33850;2703
102221;22428;3390
105043;41129;1129
121688;32793;1984
119911;24060;3848
119910;31113;3546
118204;28913;1157
122948;38362;1128
101321;14097;2719
101257;32559;2213
118761;34570;2687
101270;27482;2516
127443;37060;2336
128680;12588;2449
127554;10473;1471
109136;13954;3680
111761;37788;2799
119541;16214;2762
125236;36988;3510
108318;17728;1219
117843;40543;2959
114626;31785;2288
115451;14144;2152
103118;21529;1668
124564;13644;3197
100251;29042;3446
131499;14369;3870
128272;35823;3688
111144;19859;3136
108449;14908;2698
107652;25493;1265
123246;13070;1474
129194;12568;3998
110889;19962;1636
109687;25083;3087
101517;23933;2700
110883;30313;2398
123284;10486;2749
124915;32816;1073
122277;10370;2858
129022;18684;1333
101488;32249;2293
102901;33395;3269
112702;19830;2090
104491;32172;3573
111568;23867;1970
102478;39290;2540
129580;38859;3145
102801;12150;2048
125672;31884;1072
122166;21972;3178
125388;35418;1988
116921;24687;1435
122604;36035;1155
124945;13697;3362
102528;16369;2761
117688;23304;2648
107049;18535;2602
129408;10191;2854
114023;21276;1606
120925;20358;2141
103779;10140;1281
124587;41847;2934
109665;22834;1793
102300;27067;1124
101233;25935;3598
106445;11000;1711
101698;15523;2398
131641;23305;2803
131863;16804;1803
124415;23346;3303
124756;33408;3983
131767;38041;2092
103203;11679;3266
111689;24645;3075
103699;18250;3065
125058;11735;1591
124107;19474;1266
108517;27819;1075
119844;32511;2747
110684;13104;2833
120900;29638;2637
127958;36499;1976
107925;17506;2873
108037;22799;2772
110502;40684;2747
109481;32641;2559
129627;17290;1303
131885;20244;2083
121855;29637;2644
127369;18979;3883
124936;35758;3879
110494;12182;2971
116916;21136;1405
119688;25204;2864
123339;21550;1699
102052;18268;2532
114976;38068;2650
123948;35863;3169
111021;32996;2648
132544;12694;3915
117863;26925;2412
121400;10989;3718
110090;29099;1579
108685;33825;1284
105370;31291;3225
115644;23032;3794
124749;26928;2703
112113;34812;1125
124432;18505;3637
104543;25715;3756
117231;38648;3405
119432;14852;3067
118786;26139;2805
112363;32049;3442
127153;37042;2913
109645;36855;1366
112489;33339;3279
104985;20533;2796
107288;18110;1409
127882;15783;3879
131860;27045;2746
118942;19091;1149
113705;16380;3616
120065;30333;2254
118796;28592;1772
132213;13445;1291
128358;10457;1283
123227;26417;1599
104748;26431;2359
105837;31185;1637
119304;33175;2717
101840;25543;2892
111867;39209;1548
117494;15449;3550
108157;30684;1040
113175;34253;1616
116172;25573;3153
131368;36099;3883
129060;14206;1479
124816;14034;3433
129048;28793;1160
111892;26315;1377
110919;16012;1626
101807;25385;3107
109338;10404;2085
123982;18469;2365
124248;32928;1359
112555;20703;2898
122796;23113;2506
111546;34455;3487
106864;25955;3271
120679;22265;1582
100705;13342;2210
110998;14487;1832
132356;28256;2658
129440;28914;1659
105954;34709;2595
100040;20898;3815
106217;36877;2472
116568;27252;2905
130701;31755;3662
107368;19613;2007
117386;35350;2327
131201;40788;3962
104523;40751;2722
111248;32879;3393
100711;19179;3599
121837;35795;2236
120241;32436;3189
123235;31454;3268
103632;10893;2598
129141;10515;1348
114522;14137;1699
116059;32170;2096
107491;34965;1270
117608;20951;3724
124547;42103;1603
126423;31207;3521
106947;39301;1164
112694;11135;1867
128488;40621;2178
126180;42399;3405
118809;28498;3399
114013;20290;3428
132317;29000;2258
123722;34728;3877
102864;35120;3544
123538;12205;3919
100527;30423;2353
121818;38338;2907
121356;30368;2784
119859;30299;2685
131132;34349;3900
131573;16628;2692
129898;22967;1171
120812;22006;3897
112080;40151;1953
130912;35879;2474
119678;21680;3316
100008;35949;2707
111427;29376;2635
101702;35075;2373
102025;11957;1688
128954;37238;1258
115791;25377;2864
132237;22281;1190
130938;15337;2514
117068;11590;2376
107318;22190;3673
129374;33009;2935
116776;21688;1762
111110;29583;3080
109460;39679;1342
110063;21573;2714
118221;26722;1923
100354;24250;2822
110465;21308;4000
125074;36669;3455
112069;30405;2294
125168;34662;1314
117482;28172;2577
129282;32989;2404
124550;32107;1328
126853;13344;2862
119089;19647;2573
129260;30541;3818
116962;41939;2157
107048;15715;1023
110850;34745;1797
103356;39032;2380
116092;13059;1361
100063;33234;2277
125559;31777;1406
123305;32999;1874
113288;42061;2623
100470;26291;2342
127855;36554;2564
107011;17631;1808
124358;21345;3885
104689;41135;1965
108075;20577;2467
123066;12216;1103
130752;40851;3531
113972;16583;3895
103977;28375;3310
119602;23936;1426
130370;34925;2025
126448;16794;1857
124740;40977;1943
129094;35536;3478
116762;37239;2359
129489;37077;2436
131852;29134;1038
116634;14060;2501
116753;31045;2534
120037;20729;2043
116835;10968;2070
130084;29729;2279
105257;36802;2646
131406;20308;3732
102744;10606;3080
116221;33371;1545
123928;14267;1712
130346;27193;2884
109384;27375;3853
126820;36869;3189
127491;24495;3729
123330;25474;1842
