Codigo;Cantidad;Precio
121782;25735;3507
123750;20713;3305
122128;16979;1327
119814;25518;1924
132367;27211;1982
106749;11200;2312
120282;37827;1148
105649;38203;3428
114502;32478;1302
125313;15184;1871
116788;40935;3668
116419;22251;3080
128253;26514;2402
117295;35797;2094
100629;11661;1157
128484;42041;2080
127337;13552;1561
106319;15715;1354
111143;39524;2840
112028;39419;2242
126438;18972;1905
112242;36155;2643
120182;28665;2354
103986;36811;2724
120507;15978;2396
105709;23115;3879
132700;30958;2449
117705;10930;3739
119598;30012;3153
120469;28933;2025
123819;21116;1915
109495;21787;1526
122059;34846;1944
129211;10853;3516
102172;13867;3160
107560;18422;1622
127472;24355;1639
124266;10812;3216
114167;30671;3168
100851;37162;3182
110492;37761;3132
107231;18626;1709
118531;29637;3778
121020;17217;1182
122489;30827;1260
101193;29531;2777
102832;26990;3148
115018;14926;2545
114471;26158;1775
118978;37032;2871
109186;32236;1803
107050;41504;3442
106953;41871;2112
102796;13265;3017
114880;25371;3640
116356;10669;1584
103637;35171;3745
129167;11025;2713
123229;24274;1248
100156;36792;3806
112407;15471;2913
108050;13697;2372
115494;11867;1982
109132;29892;3425
129287;39297;1311
122041;27689;2011
120877;33328;3868
105568;40510;2012
121164;12238;1298
110270;10819;2460
120949;36342;2750
123058;38629;4000
125071;25998;2477
108403;32978;3939
111070;26814;3102
119592;22652;2485
106629;41685;3944
109816;33123;1700
100690;14714;1750
104619;27314;3287
121398;40628;3503
103992;27681;2448
112944;27580;1833
121290;41809;3208
126867;10896;3990
110889;36127;2777
129272;26806;1685
107406;29605;2147
119863;38849;2920
111939;21728;1825
105015;36974;3970
101023;28463;1506
110972;37742;3902
122432;30762;2692
100021;28480;3759
126103;30602;3751
119233;38055;3003
109334;41740;1255
125917;27546;2361
125862;14749;2380
124665;14532;1806
130354;35629;1926
114540;26610;1858
131174;26625;1089
129143;10748;1238
103413;27991;1811
100701;38154;3152
114176;24244;3206
132088;27720;1305
106611;16963;2199
106259;28775;2056
