Codigo;Cantidad;Precio
126576;16808;3595
105257;37949;2039
111643;37015;3641
103272;29703;2961
100174;24036;1959
105856;22781;3842
112863;12768;1485
110277;22376;1739
119881;11956;1781
103870;28425;1984
117606;29892;3043
116907;13573;3952
127651;27013;1303
102920;34783;2296
122873;35356;3436
118556;37195;1356
118293;17756;2636
121074;11448;2480
103028;37121;2389
109146;23266;2132
118875;39989;1272
128439;35283;2621
109557;13768;3342
111559;30229;2359
108543;18078;2471
118964;38147;2389
122311;12607;3214
102143;41345;3804
111209;36243;1987
102442;23419;2564
122256;42024;2802
114995;40960;3984
120103;20123;2262
113972;33496;3061
118457;35573;1648
107208;21463;3650
119417;11810;1444
125190;18799;1201
107806;17861;3783
100144;14111;3319
124191;29721;2683
118375;37336;3158
126198;28831;2159
112391;23921;3572
110438;28363;1678
109425;17850;3602
107524;34797;2581
104560;27349;1278
117104;30722;3147
118662;39896;1785
102398;38203;1476
106930;11243;3594
129731;30810;1664
104853;36187;2248
114237;24624;2490
127501;15194;3732
125716;34020;2841
123534;34401;2325
104614;24524;3220
109794;24696;2370
120405;29438;1458
102434;40391;1883
113624;26595;1194
127746;37691;3633
102396;32369;3667
117695;24626;3970
129686;20185;1837
104021;20831;2276
123285;24011;1983
104907;31331;2640
113270;34719;1643
123823;12504;3565
102538;24830;3972
118047;20156;2710
103882;27629;3141
106222;23418;2871
104240;30266;1143
103110;16909;3316
126670;12992;3591
101720;24550;1351
122133;12551;3191
102902;19363;3637
122899;20246;2406
109107;33719;2900
129673;12197;1805
121935;38034;2667
112171;13033;3683
123300;33517;1007
119658;31400;1989
109138;12865;2546
122517;12904;2648
126412;26777;1459
103732;15054;2313
106531;18487;1144
129002;33660;2722
111136;27850;3050
123976;24867;2358
104066;40228;2453
126793;38266;2846
110856;33718;2193
115835;40279;2204
107527;28467;3400
120575;15652;2110
128955;35372;2885
100577;15966;3708
123549;37774;2906
123514;28902;1953
105561;15161;1888
120538;22857;2849
109889;11568;1131
111471;37198;1874
109130;23320;1065
100446;21091;3123
119291;34546;2629
123978;31179;1553
104661;17247;3345
129413;42127;1419
128027;23760;2105
130006;21929;3506
108547;15463;1837
101721;33505;2399
105144;41083;3842
112172;30028;3548
114614;20475;2676
128479;12410;3451
108389;34084;3676
118496;40875;1176
109828;33093;3614
101218;10920;3764
110902;24198;3310
112746;39952;2999
121305;38388;3883
114434;33085;2687
131058;40757;2181
126162;28686;3804
121548;23730;3198
128125;31023;2557
107417;33317;2815
115615;36290;3490
126784;40132;1037
118588;21872;2170
123928;11133;2229
129280;28237;3392
118718;39682;3689
114337;25103;1927
132427;19613;2729
119355;21648;1951
124561;24570;2600
120206;40336;3732
105267;38764;2005
101206;13354;3585
118435;11103;2408
112953;40071;2187
125560;36071;2592
129540;30894;1414
111767;16567;1272
111406;33659;2480
102689;29414;2477
102866;10537;2931
128551;31044;1970
111268;13049;3669
127889;32048;2139
112017;41939;3792
105407;18226;1471
116996;33270;3542
108996;30146;3654
131590;28179;2109
100441;38402;1930
126390;41577;2816
125131;28763;2371
130511;21689;3333
129946;13366;2163
103726;35881;3738
107653;21835;3972
121496;22646;3653
