Codigo;Cantidad;Precio
124682;31335;2902
113579;29199;1577
129172;35070;3695
117725;12648;2337
118054;35383;1591
129496;41435;3620
108268;13405;1945
130204;23729;3857
127590;14472;1486
109878;31767;3563
107327;37804;3381
108265;20522;1863
103585;10505;3540
123983;16659;1807
100171;14185;2548
112008;10742;3613
108257;19651;2174
102360;35741;2549
109855;21521;1843
127296;18222;3470
103672;18295;2614
127730;28744;3249
108751;34076;3502
113591;33620;1471
122437;20279;2174
122783;14331;2022
112472;12350;1073
126093;37111;1862
103362;25155;1567
129922;33212;2952
118485;34011;2967
109750;22439;3213
132433;28453;3022
100570;22461;3451
113635;21450;1784
125980;33563;3841
109128;19215;1342
126912;33702;3128
129105;15182;2457
118132;12192;3989
102714;37492;1400
132000;11813;2314
108300;25425;1904
107616;24517;1799
123655;20452;3993
114933;38323;3572
123208;17890;3324
123334;10052;3613
116006;34092;2453
130888;26792;1303
114930;16369;1996
100975;14130;1692
108336;29357;2584
119659;36482;1092
119894;26185;3442
103394;14185;2102
116656;14588;2248
105969;27760;1816
124684;23245;3178
115586;39221;3515
130089;12475;3572
131568;28965;1629
117799;40438;1069
125926;20286;1106
100456;38071;2557
114682;29659;2065
103840;39052;2246
107640;38581;3634
102668;23105;1626
110936;12965;1594
124160;22948;2719
120657;15810;2199
128338;21457;1264
122760;31737;2284
115020;17625;1760
115027;37676;2278
105509;31192;1438
127993;20348;2905
106037;11470;3507
114822;27466;1985
131173;30180;1548
130053;33295;1536
131200;38371;3627
101559;26153;3515
100470;19450;3006
113966;12570;3335
125874;40245;1676
112206;25341;2804
128267;15919;3509
103837;37144;1054
132352;16348;3856
100208;19661;3443
127796;18056;2359
107735;25443;1894
104309;32352;2130
107349;11354;1012
105894;17172;3536
112833;40769;1780
124260;39035;3333
131050;11087;1360
129353;12358;2792
113366;39470;3689
127760;23829;3145
103850;29870;1430
112903;36247;1346
104870;15210;3893
112281;19068;1285
123321;40570;2873
120018;18524;3020
125585;34501;1957
121129;31459;1609
104001;34976;3025
114679;18660;3564
114629;35498;1268
128351;39197;3453
103697;23851;2765
117409;32213;1356
126581;32106;3361
130812;22938;3652
102515;40360;1028
129712;33223;3191
115035;38346;3954
114636;13217;2016
126541;27094;2056
124859;14114;1306
119663;27342;1986
103894;22223;1829
117114;27537;3115
124514;30260;3624
102120;26310;2546
122566;39119;3229
109930;37888;2550
102105;10646;3415
101491;39321;2780
